2005,1,20,0,3
2005,2,15,12,6
2005,3,10,8,4
2005,4,10,6,2
2005,5,6,6,4
2005,6,13,10,5
2005,7,12,7,4
2005,8,9,6,2
2005,9,14,7,4
2005,10,10,5,3
2005,11,7,6,3
2005,12,8,5,3
2006,1,9,7,3
2006,2,8,4,2
2006,3,6,0,0
2006,4,15,11,6
2006,5,7,2,1
2006,6,14,9,4
2006,7,2,2,4
2006,8,17,9,7
2006,9,12,8,5
2006,10,22,15,7
2006,11,3,12,7
2006,12,15,7,4
2007,1,15,6,4
2007,2,13,8,4
2007,3,0,6,16
2007,4,18,14,6
2007,5,21,14,7
2007,6,1,0,1
2007,7,18,12,3
2007,8,25,18,5
2007,9,0,7,5
2007,10,10,1,6
2007,11,19,10,6
2007,12,11,11,4
2008,1,22,11,4
2008,2,0,1,0
2008,3,37,27,11
2008,4,17,13,3
2008,5,20,14,3
2008,6,10,8,2
2008,7,17,12,4
2008,8,10,0,4
2008,9,17,13,6
2008,10,11,0,7
2008,11,22,14,9
2008,12,18,1,0
2009,1,12,8,7
2009,2,30,0,2
2009,3,23,1,8
2009,4,15,9,6
2009,5,13,8,6
2009,6,14,10,3
2009,7,4,0,0
2009,8,14,0,3
2009,9,26,0,7
2009,10,30,0,2
2009,11,12,9,4
2009,12,10,0,0
2010,1,17,8,1
2010,2,11,7,0
2010,3,12,11,0
2010,4,15,16,4
2010,5,22,22,0
2010,6,12,0,0
2010,8,3,0,0
2010,9,30,0,0
2010,10,13,13,2
2010,11,15,14,4
2011,1,12,13,2
2011,2,13,14,2
2011,3,0,0,1
2011,4,12,11,2
2011,5,15,10,3
2011,6,17,17,1
2011,7,3,0,0
2011,8,12,13,0
2011,9,9,0,1
2011,10,22,18,2
